[16:42:10] [Datafixer Bootstrap/INFO]: 237 Datafixer optimizations took 2116 milliseconds
[16:43:24] [Render thread/ERROR]: Can't open the resource index file: assets\indexes\16.json
[16:43:25] [Render thread/INFO]: Environment: Environment[sessionHost=https://sessionserver.mojang.com, servicesHost=https://api.minecraftservices.com, name=PROD]
[16:43:25] [Render thread/INFO]: Setting user: Player823
[16:43:27] [Render thread/INFO]: Backend library: LWJGL version 3.3.3+5
[16:43:29] [Render thread/ERROR]: Couldn't set icon
java.io.FileNotFoundException: icons/icon_16x16.png
	at com.mojang.blaze3d.platform.IconSet.getFile(IconSet.java:42) ~[main/:?]
	at com.mojang.blaze3d.platform.IconSet.getStandardIcons(IconSet.java:26) ~[main/:?]
	at com.mojang.blaze3d.platform.Window.setIcon(Window.java:158) ~[main/:?]
	at net.minecraft.client.Minecraft.<init>(Minecraft.java:480) [main/:?]
	at net.minecraft.client.main.Main.main(Main.java:222) [main/:?]
	at mcp.client.Start.main(Start.java:17) [main/:?]
[16:43:41] [Render thread/INFO]: Reloading ResourceManager: vanilla
[16:43:47] [Render thread/WARN]: Missing sound for event: minecraft:entity.allay.ambient_with_item
[16:43:47] [Render thread/WARN]: Missing sound for event: minecraft:entity.allay.ambient_without_item
[16:43:47] [Render thread/WARN]: Missing sound for event: minecraft:entity.allay.death
[16:43:47] [Render thread/WARN]: Missing sound for event: minecraft:entity.allay.hurt
[16:43:47] [Render thread/WARN]: Missing sound for event: minecraft:entity.allay.item_given
[16:43:47] [Render thread/WARN]: Missing sound for event: minecraft:entity.allay.item_taken
[16:43:47] [Render thread/WARN]: Missing sound for event: minecraft:entity.allay.item_thrown
[16:43:47] [Render thread/WARN]: Missing sound for event: minecraft:ambient.cave
[16:43:47] [Render thread/WARN]: Missing sound for event: minecraft:ambient.basalt_deltas.additions
[16:43:47] [Render thread/WARN]: Missing sound for event: minecraft:ambient.basalt_deltas.loop
[16:43:47] [Render thread/WARN]: Missing sound for event: minecraft:ambient.basalt_deltas.mood
[16:43:47] [Render thread/WARN]: Missing sound for event: minecraft:ambient.crimson_forest.additions
[16:43:47] [Render thread/WARN]: Missing sound for event: minecraft:ambient.crimson_forest.loop
[16:43:47] [Render thread/WARN]: Missing sound for event: minecraft:ambient.crimson_forest.mood
[16:43:47] [Render thread/WARN]: Missing sound for event: minecraft:ambient.nether_wastes.additions
[16:43:47] [Render thread/WARN]: Missing sound for event: minecraft:ambient.nether_wastes.loop
[16:43:47] [Render thread/WARN]: Missing sound for event: minecraft:ambient.nether_wastes.mood
[16:43:47] [Render thread/WARN]: Missing sound for event: minecraft:ambient.soul_sand_valley.additions
[16:43:47] [Render thread/WARN]: Missing sound for event: minecraft:ambient.soul_sand_valley.loop
[16:43:47] [Render thread/WARN]: Missing sound for event: minecraft:ambient.soul_sand_valley.mood
[16:43:47] [Render thread/WARN]: Missing sound for event: minecraft:ambient.warped_forest.additions
[16:43:47] [Render thread/WARN]: Missing sound for event: minecraft:ambient.warped_forest.loop
[16:43:47] [Render thread/WARN]: Missing sound for event: minecraft:ambient.warped_forest.mood
[16:43:47] [Render thread/WARN]: Missing sound for event: minecraft:ambient.underwater.enter
[16:43:47] [Render thread/WARN]: Missing sound for event: minecraft:ambient.underwater.exit
[16:43:47] [Render thread/WARN]: Missing sound for event: minecraft:ambient.underwater.loop
[16:43:47] [Render thread/WARN]: Missing sound for event: minecraft:ambient.underwater.loop.additions
[16:43:47] [Render thread/WARN]: Missing sound for event: minecraft:ambient.underwater.loop.additions.rare
[16:43:47] [Render thread/WARN]: Missing sound for event: minecraft:ambient.underwater.loop.additions.ultra_rare
[16:43:47] [Render thread/WARN]: Missing sound for event: minecraft:block.amethyst_block.break
[16:43:47] [Render thread/WARN]: Missing sound for event: minecraft:block.amethyst_block.chime
[16:43:47] [Render thread/WARN]: Missing sound for event: minecraft:block.amethyst_block.fall
[16:43:47] [Render thread/WARN]: Missing sound for event: minecraft:block.amethyst_block.hit
[16:43:47] [Render thread/WARN]: Missing sound for event: minecraft:block.amethyst_block.place
